Users,HealthStatus,JobType,ActivityType
356,HEALTHY,Cleaning_Staff,Working
357,HEALTHY,Others,Working
358,HEALTHY,Others,Working
359,HEALTHY,Cleaning_Staff,Working
360,HEALTHY,Others,Working
361,HEALTHY,Others,Working
362,HEALTHY,Cleaning_Staff,Working
363,COVID19,Others,Working
364,HEALTHY,Others,Working
365,HEALTHY,Others,Working
366,HEALTHY,Others,Working
367,HEALTHY,Others,Working
368,COVID19,Others,Working
369,HEALTHY,Others,Working
370,COVID19,Others,Working
371,HEALTHY,Others,Working
372,HEALTHY,Others,Working
373,COVID19,Others,Working
374,HEALTHY,Others,Working
375,HEALTHY,Others,Working
376,COVID19,Others,Working
377,HEALTHY,Others,Working
378,COVID19,Others,Working
379,HEALTHY,Others,Working
380,HEALTHY,Others,Working
381,HEALTHY,Others,Working
382,HEALTHY,Others,Working
383,HEALTHY,Others,Working
384,HEALTHY,Others,Working
385,HEALTHY,Cleaning_Staff,Working
386,HEALTHY,Others,Working
387,COVID19,Others,Working
388,HEALTHY,Others,Working
389,HEALTHY,Others,Working
390,HEALTHY,Others,Working
391,HEALTHY,Cleaning_Staff,Working
392,HEALTHY,Others,Working
393,HEALTHY,Cleaning_Staff,Working
394,HEALTHY,Others,Working
395,HEALTHY,Cleaning_Staff,Working
396,HEALTHY,Others,Working
397,HEALTHY,Others,Working
398,COVID19,Others,Working
399,HEALTHY,Others,Working
400,COVID19,Others,Working
401,HEALTHY,Others,Working
402,HEALTHY,Others,Working
403,HEALTHY,Others,Working
404,HEALTHY,Others,Working
405,HEALTHY,Others,Working
406,HEALTHY,Cleaning_Staff,Working
407,HEALTHY,Cleaning_Staff,Working
408,HEALTHY,Others,Working
409,HEALTHY,Others,Working
410,HEALTHY,Others,Working
411,HEALTHY,Others,Working
412,COVID19,Others,Working
413,HEALTHY,Others,Working
414,HEALTHY,Others,Working
415,HEALTHY,Others,Working
416,HEALTHY,Others,Working
417,COVID19,Others,Working
418,HEALTHY,Others,Working
419,HEALTHY,Others,Working
420,HEALTHY,Others,Working
421,HEALTHY,Others,Working
422,HEALTHY,Others,Working
423,HEALTHY,Others,Working
424,HEALTHY,Others,Working
425,HEALTHY,Others,Working
426,COVID19,Others,Working
427,HEALTHY,Others,Working
428,HEALTHY,Others,Working
429,HEALTHY,Others,Working
430,COVID19,Others,Working
431,COVID19,Others,Working
432,HEALTHY,Others,Working
433,HEALTHY,Others,Working
434,HEALTHY,Others,Working
435,HEALTHY,Others,Working
436,HEALTHY,Cleaning_Staff,Working
437,COVID19,Others,Working
438,HEALTHY,Others,Working
439,HEALTHY,Cleaning_Staff,Working
440,HEALTHY,Others,Working
441,HEALTHY,Others,Working
442,HEALTHY,Others,Working
443,HEALTHY,Others,Working
444,HEALTHY,Others,Working
445,HEALTHY,Others,Working
446,HEALTHY,Cleaning_Staff,Working
447,HEALTHY,Others,Working
448,HEALTHY,Others,Working
449,HEALTHY,Cleaning_Staff,Working
450,HEALTHY,Others,Working
451,HEALTHY,Others,Working
452,COVID19,Others,Working
453,HEALTHY,Others,Working
454,HEALTHY,Others,Working
455,HEALTHY,Others,Working
456,HEALTHY,Others,Working
457,HEALTHY,Others,Working
458,HEALTHY,Others,Working
459,HEALTHY,Others,Working
460,HEALTHY,Others,Working
461,HEALTHY,Others,Working
462,COVID19,Others,Working
463,HEALTHY,Others,Working
464,HEALTHY,Others,Working
465,COVID19,Others,Working
466,HEALTHY,Others,Working
467,HEALTHY,Others,Working
468,HEALTHY,Others,Working
469,HEALTHY,Others,Working
470,HEALTHY,Others,Working
471,HEALTHY,Cleaning_Staff,Working
472,HEALTHY,Others,Working
473,HEALTHY,Others,Working
474,HEALTHY,Others,Working
475,HEALTHY,Others,Working
476,HEALTHY,Others,Working
477,HEALTHY,Others,Working
478,HEALTHY,Others,Working
479,HEALTHY,Others,Working
480,HEALTHY,Others,Working
481,HEALTHY,Others,Working
482,HEALTHY,Others,Working
483,HEALTHY,Others,Working
484,COVID19,Others,Working
485,HEALTHY,Others,Working
486,HEALTHY,Cleaning_Staff,Working
487,HEALTHY,Others,Working
488,HEALTHY,Others,Working
489,HEALTHY,Others,Working
490,COVID19,Others,Working
491,HEALTHY,Others,Working
492,HEALTHY,Others,Working
493,HEALTHY,Others,Working
494,HEALTHY,Others,Working
495,COVID19,Others,Working
496,HEALTHY,Others,Working
497,HEALTHY,Others,Working
498,HEALTHY,Others,Working
499,HEALTHY,Others,Working
500,HEALTHY,Others,Working
501,HEALTHY,Others,Working
502,COVID19,Others,Working
503,HEALTHY,Others,Working
504,HEALTHY,Others,Working
505,HEALTHY,Cleaning_Staff,Working
506,HEALTHY,Others,Working
507,HEALTHY,Cleaning_Staff,Working
508,HEALTHY,Others,Working
509,COVID19,Others,Working
510,HEALTHY,Others,Working
511,HEALTHY,Others,Working
512,HEALTHY,Others,Working
513,HEALTHY,Others,Working
514,HEALTHY,Others,Working
515,HEALTHY,Others,Working
516,HEALTHY,Others,Working
517,HEALTHY,Others,Working
518,HEALTHY,Others,Working
519,COVID19,Others,Working
520,COVID19,Others,Working
521,HEALTHY,Others,Working
522,HEALTHY,Cleaning_Staff,Working
523,HEALTHY,Others,Working
524,COVID19,Others,Working
525,HEALTHY,Others,Working
526,COVID19,Others,Working
527,HEALTHY,Others,Working
528,HEALTHY,Cleaning_Staff,Working
529,HEALTHY,Others,Working
530,HEALTHY,Others,Working
531,HEALTHY,Others,Working
532,HEALTHY,Others,Working
533,HEALTHY,Others,Working
534,HEALTHY,Others,Working
535,HEALTHY,Others,Working
536,HEALTHY,Others,Working
537,HEALTHY,Others,Working
538,HEALTHY,Others,Working
539,HEALTHY,Others,Working
540,COVID19,Others,Working
541,HEALTHY,Others,Working
542,HEALTHY,Cleaning_Staff,Working
543,COVID19,Others,Working
544,HEALTHY,Others,Working
545,COVID19,Others,Working
546,HEALTHY,Others,Working
547,HEALTHY,Others,Working
548,COVID19,Others,Working
549,HEALTHY,Others,Working
550,HEALTHY,Others,Working
551,HEALTHY,Cleaning_Staff,Working
552,HEALTHY,Others,Working
553,COVID19,Others,Working
554,COVID19,Others,Working
555,COVID19,Others,Working
556,HEALTHY,Others,Working
557,HEALTHY,Others,Working
558,HEALTHY,Others,Working
559,HEALTHY,Cleaning_Staff,Working
560,COVID19,Others,Working
561,COVID19,Others,Working
562,HEALTHY,Others,Working
563,HEALTHY,Others,Working
564,HEALTHY,Others,Working
565,HEALTHY,Others,Working
566,HEALTHY,Cleaning_Staff,Working
567,HEALTHY,Others,Working
568,HEALTHY,Others,Working
569,COVID19,Others,Working
570,HEALTHY,Others,Working
571,HEALTHY,Others,Working
572,HEALTHY,Others,Working
573,COVID19,Others,Working
574,HEALTHY,Others,Working
575,HEALTHY,Cleaning_Staff,Working
576,HEALTHY,Others,Working
577,COVID19,Others,Working
578,HEALTHY,Others,Working
579,HEALTHY,Others,Working
580,HEALTHY,Cleaning_Staff,Working
581,HEALTHY,Others,Working
582,HEALTHY,Others,Working
583,HEALTHY,Others,Working
584,HEALTHY,Others,Working
585,COVID19,Others,Working
586,HEALTHY,Others,Working
587,HEALTHY,Cleaning_Staff,Working
588,HEALTHY,Others,Working
589,HEALTHY,Others,Working
590,HEALTHY,Others,Working
591,HEALTHY,Others,Working
592,HEALTHY,Others,Working
593,HEALTHY,Cleaning_Staff,Working
594,HEALTHY,Others,Working
595,HEALTHY,Cleaning_Staff,Working
596,COVID19,Others,Working
597,HEALTHY,Others,Working
598,HEALTHY,Others,Working
599,HEALTHY,Others,Working
600,HEALTHY,Others,Working
601,COVID19,Others,Working
602,COVID19,Others,Working
603,COVID19,Others,Working
604,HEALTHY,Others,Working
605,HEALTHY,Others,Working
606,HEALTHY,Others,Working
607,HEALTHY,Others,Working
608,HEALTHY,Others,Working
609,COVID19,Others,Working
610,HEALTHY,Others,Working
611,HEALTHY,Others,Working
612,HEALTHY,Others,Working
613,HEALTHY,Others,Working
614,HEALTHY,Others,Working
615,HEALTHY,Cleaning_Staff,Working
616,HEALTHY,Others,Working
617,HEALTHY,Others,Working
618,HEALTHY,Others,Working
619,HEALTHY,Others,Working
620,HEALTHY,Others,Working
621,HEALTHY,Others,Working
622,HEALTHY,Others,Working
623,HEALTHY,Others,Working
624,HEALTHY,Others,Working
625,HEALTHY,Others,Working
626,HEALTHY,Others,Working
627,HEALTHY,Others,Working
628,HEALTHY,Others,Working
629,HEALTHY,Others,Working
630,HEALTHY,Others,Working
631,HEALTHY,Others,Working
632,HEALTHY,Others,Working
633,HEALTHY,Cleaning_Staff,Working
634,HEALTHY,Others,Working
635,COVID19,Others,Working
636,HEALTHY,Others,Working
637,HEALTHY,Others,Working
638,COVID19,Others,Working
639,HEALTHY,Others,Working
640,HEALTHY,Others,Working
641,COVID19,Others,Working
642,HEALTHY,Others,Working
643,COVID19,Others,Working
644,HEALTHY,Others,Working
645,HEALTHY,Others,Working
646,HEALTHY,Cleaning_Staff,Working
647,HEALTHY,Others,Working
648,HEALTHY,Others,Working
649,HEALTHY,Others,Working
650,HEALTHY,Cleaning_Staff,Working
651,HEALTHY,Others,Working
652,HEALTHY,Others,Working
653,HEALTHY,Others,Working
654,HEALTHY,Others,Working
655,HEALTHY,Others,Working
656,HEALTHY,Others,Working
657,HEALTHY,Others,Working
658,HEALTHY,Others,Working
659,HEALTHY,Others,Working
660,HEALTHY,Others,Working
661,HEALTHY,Others,Working
662,HEALTHY,Cleaning_Staff,Working
663,HEALTHY,Others,Working
664,HEALTHY,Others,Working
665,HEALTHY,Others,Working
666,HEALTHY,Others,Working
667,COVID19,Others,Working
668,HEALTHY,Others,Working
669,HEALTHY,Others,Working
670,HEALTHY,Others,Working
671,HEALTHY,Others,Working
672,HEALTHY,Others,Working
673,COVID19,Others,Working
674,HEALTHY,Others,Working
675,HEALTHY,Others,Working
676,HEALTHY,Others,Working
677,HEALTHY,Others,Working
678,HEALTHY,Others,Working
679,HEALTHY,Others,Working
680,HEALTHY,Others,Working
681,HEALTHY,Cleaning_Staff,Working
682,HEALTHY,Others,Working
683,HEALTHY,Others,Working
684,HEALTHY,Others,Working
685,HEALTHY,Cleaning_Staff,Working
686,COVID19,Others,Working
687,HEALTHY,Others,Working
688,HEALTHY,Others,Working
689,COVID19,Others,Working
690,HEALTHY,Others,Working
691,COVID19,Others,Working
692,HEALTHY,Others,Working
693,COVID19,Others,Working
694,HEALTHY,Others,Working
695,HEALTHY,Others,Working
696,HEALTHY,Others,Working
697,COVID19,Others,Working
698,HEALTHY,Cleaning_Staff,Working
699,HEALTHY,Others,Working
700,HEALTHY,Others,Working
701,COVID19,Others,Working
702,HEALTHY,Others,Working
703,HEALTHY,Others,Working
704,COVID19,Others,Working
705,HEALTHY,Others,Working
706,HEALTHY,Others,Working
707,HEALTHY,Others,Working
708,HEALTHY,Cleaning_Staff,Working
709,HEALTHY,Cleaning_Staff,Working
710,HEALTHY,Others,Working
711,HEALTHY,Others,Working
712,HEALTHY,Others,Working
713,HEALTHY,Cleaning_Staff,Working
714,HEALTHY,Others,Working
715,HEALTHY,Others,Working
716,HEALTHY,Cleaning_Staff,Working
717,COVID19,Others,Working
718,HEALTHY,Others,Working
719,HEALTHY,Others,Working
720,HEALTHY,Others,Working
721,HEALTHY,Others,Working
722,HEALTHY,Others,Working
723,HEALTHY,Others,Working
724,COVID19,Others,Working
725,HEALTHY,Cleaning_Staff,Working
726,HEALTHY,Others,Working
727,HEALTHY,Cleaning_Staff,Working
728,HEALTHY,Others,Working
729,HEALTHY,Others,Working
730,HEALTHY,Others,Working
731,HEALTHY,Others,Working
732,HEALTHY,Others,Working
733,HEALTHY,Others,Working
734,HEALTHY,Others,Working
735,HEALTHY,Others,Working
736,HEALTHY,Others,Working
737,HEALTHY,Others,Working
738,HEALTHY,Cleaning_Staff,Working
739,HEALTHY,Others,Working
740,HEALTHY,Others,Working
741,COVID19,Others,Working
742,HEALTHY,Others,Working
743,HEALTHY,Others,Working
744,HEALTHY,Others,Working
745,HEALTHY,Others,Working
746,HEALTHY,Others,Working
747,COVID19,Others,Working
748,HEALTHY,Others,Working
749,HEALTHY,Others,Working
750,HEALTHY,Others,Working
751,HEALTHY,Cleaning_Staff,Working
752,HEALTHY,Others,Working
753,HEALTHY,Others,Working
754,HEALTHY,Others,Working
755,HEALTHY,Others,Working
756,HEALTHY,Others,Working
757,HEALTHY,Others,Working
758,HEALTHY,Others,Working
759,HEALTHY,Others,Working
760,HEALTHY,Others,Working
761,HEALTHY,Others,Working
762,HEALTHY,Others,Working
763,HEALTHY,Others,Working
764,HEALTHY,Others,Working
765,HEALTHY,Others,Working
766,COVID19,Others,Working
767,HEALTHY,Others,Working
768,HEALTHY,Others,Working
769,HEALTHY,Cleaning_Staff,Working
770,HEALTHY,Others,Working
771,HEALTHY,Others,Working
772,HEALTHY,Others,Working
773,COVID19,Others,Working
774,HEALTHY,Others,Working
775,COVID19,Others,Working
776,COVID19,Others,Working
777,HEALTHY,Others,Working
778,HEALTHY,Cleaning_Staff,Working
779,HEALTHY,Others,Working
780,HEALTHY,Others,Working
781,HEALTHY,Others,Working
782,HEALTHY,Cleaning_Staff,Working
783,HEALTHY,Others,Working
784,COVID19,Others,Working
785,COVID19,Others,Working
786,HEALTHY,Others,Working
787,HEALTHY,Others,Working
788,HEALTHY,Others,Working
789,COVID19,Others,Working
790,HEALTHY,Others,Working
791,HEALTHY,Cleaning_Staff,Working
792,HEALTHY,Others,Working
793,HEALTHY,Others,Working
794,HEALTHY,Others,Working
795,HEALTHY,Others,Working
796,HEALTHY,Others,Working
797,COVID19,Others,Working
798,HEALTHY,Others,Working
799,HEALTHY,Others,Working
800,HEALTHY,Others,Working
801,HEALTHY,Others,Working
802,COVID19,Others,Working
803,HEALTHY,Others,Working
804,HEALTHY,Others,Working
805,HEALTHY,Others,Working
806,HEALTHY,Others,Working
807,COVID19,Others,Working
808,HEALTHY,Others,Working
809,COVID19,Others,Working
810,HEALTHY,Others,Working
811,HEALTHY,Cleaning_Staff,Working
812,HEALTHY,Others,Working
813,HEALTHY,Others,Working
814,HEALTHY,Cleaning_Staff,Working
815,HEALTHY,Cleaning_Staff,Working
816,HEALTHY,Others,Working
817,HEALTHY,Others,Working
818,HEALTHY,Others,Working
819,HEALTHY,Others,Working
820,HEALTHY,Others,Working
821,HEALTHY,Others,Working
822,COVID19,Others,Working
823,HEALTHY,Others,Working
824,HEALTHY,Others,Working
825,COVID19,Others,Working
826,HEALTHY,Others,Working
827,HEALTHY,Others,Working
828,HEALTHY,Others,Working
829,HEALTHY,Others,Working
830,HEALTHY,Cleaning_Staff,Working
831,HEALTHY,Cleaning_Staff,Working
832,HEALTHY,Others,Working
833,HEALTHY,Others,Working
834,HEALTHY,Cleaning_Staff,Working
835,HEALTHY,Others,Working
836,HEALTHY,Others,Working
837,HEALTHY,Others,Working
838,HEALTHY,Others,Working
839,HEALTHY,Others,Working
840,HEALTHY,Cleaning_Staff,Working
841,HEALTHY,Others,Working
842,HEALTHY,Others,Working
843,HEALTHY,Cleaning_Staff,Working
844,HEALTHY,Others,Working
845,HEALTHY,Cleaning_Staff,Working
846,HEALTHY,Others,Working
847,COVID19,Others,Working
848,HEALTHY,Others,Working
849,HEALTHY,Others,Working
850,HEALTHY,Others,Working
851,HEALTHY,Others,Working
852,COVID19,Others,Working
853,HEALTHY,Others,Working
854,HEALTHY,Others,Working
855,COVID19,Others,Working
856,COVID19,Others,Working
857,HEALTHY,Others,Working
858,COVID19,Others,Working
859,COVID19,Others,Working
860,HEALTHY,Others,Working
861,HEALTHY,Others,Working
862,COVID19,Others,Working
863,HEALTHY,Others,Working
864,HEALTHY,Others,Working
865,HEALTHY,Others,Working
866,HEALTHY,Others,Working
867,HEALTHY,Others,Working
868,COVID19,Others,Working
869,COVID19,Others,Working
870,HEALTHY,Others,Working
871,HEALTHY,Others,Working
872,HEALTHY,Others,Working
873,HEALTHY,Others,Working
874,HEALTHY,Others,Working
875,HEALTHY,Cleaning_Staff,Working
876,HEALTHY,Others,Working
877,COVID19,Others,Working
878,COVID19,Others,Working
879,HEALTHY,Others,Working
880,COVID19,Others,Working
881,HEALTHY,Others,Working
882,HEALTHY,Others,Working
883,COVID19,Others,Working
884,HEALTHY,Others,Working
885,COVID19,Others,Working
886,HEALTHY,Others,Working
887,HEALTHY,Others,Working
888,HEALTHY,Others,Working
889,HEALTHY,Others,Working
890,HEALTHY,Cleaning_Staff,Working
891,HEALTHY,Others,Working
892,HEALTHY,Others,Working
893,HEALTHY,Others,Working
894,HEALTHY,Others,Working
895,HEALTHY,Others,Working
896,HEALTHY,Cleaning_Staff,Working
897,HEALTHY,Others,Working
898,HEALTHY,Cleaning_Staff,Working
899,HEALTHY,Others,Working
900,HEALTHY,Others,Working
901,HEALTHY,Others,Working
902,HEALTHY,Others,Working
903,COVID19,Others,Working
904,HEALTHY,Others,Working
905,HEALTHY,Others,Working
906,HEALTHY,Others,Working
907,HEALTHY,Others,Working
908,HEALTHY,Others,Working
909,HEALTHY,Others,Working
